look	l--- 見える、見る
be similar to ~	～と似ている
belong to ~	～に所属している
by the way	ところで
call A back	Aに折り返し電話する
care about ~	～を気遣う
change trains	列車を乗り換える
clean up~	～を掃除する、〜をきれいにする
depend on ~	～次第である、～に頼る
either A or B	AかBのどちらか
exchange A for B	AをBと交換する
for a while	しばらくの間
for fun	楽しみで
get a good grade (on ~)	～でよい成績を取る
get away from ~	～から逃げる
get in ~	（車などに）乗り込む、～に入る
have a fight	けんかをする
hear from~	～から連絡（便り）をもらう
instead of ~	〜の代わりに
It is A for B to do	Bが〜するのはA(形容詞)
keep in touch with A	Aと連絡を取り続ける
laugh at ~	～を聞いて（見て）笑う
leave a message (for A)	(Aに)伝言を残す
less than ~	〜より少ない
lose one's way	道に迷う
make a mistake	間違える
make money	お金を稼ぐ
not A but B	AではなくB
on the other hand	一方では
so many~	とてもたくさんの
take a break	休憩を取る
take a look at ~	【4語】～を見る
take off	（飛行機が）離陸する
the number of ~	～の数
throw away~	〜を捨てる
turn up ~	（ テレビ・ラジオ）の音量を上げる
where to do	どこへ[で]〜するべきか
Are you all right?	大丈夫ですか。
Are you ready to order?	ご注文はお決まりですか。
Can I take a message?	ご伝言を承りましょうか。
Can you tell me where ... ?	どこに・・・か教えてもらえますか。
Certainly.	かしこまりました。
Congratulations!	おめでとう！
Do you often come here	ここへはよく来るのですか。
Don't worry.	心配しないで。
Good luck.	がんばって。
Guess what?	ねえねえ。聞いて。
Have a nice trip.	よい旅を
Have you ever been to ~ ?	～に行ったことがありますか。
Help yourself.	ご自由にどうぞ。
Here it is.	はい、どうぞ。
Here you are [go] .	はい、どうぞ。
Here's ~ .	～をどうぞ。こちらが～になります。ここに～があります。
Hold on (,please) .	切らずにお待ちください。
How [What] about ~ ?	～はどうですか。
How [What] about doing ~ ?	～はするのはどうですか。
How about you ?	あなたはどうですか。
